Item_Id,Nome,Preço,Moeda,Categoria,Marca,Quantidade,Link,Detalhes_Imagem,Descrição,Condicao,Estado
MLA1443682603,Apple Tv 2ª Generaciónhd 8gb Negro Con 256mb De Memoria Ram,60000.0,ARS,MLA352001,A1378,1,https://articulo.mercadolibre.com.ar/MLA-1443682603-apple-tv-2-generacionhd-8gb-negro-con-256mb-de-memoria-ram-_JM,http://http2.mlstatic.com/D_751622-MLA78448683903_082024-O.jpg,,used,Capital Federal
MLA1463957805,Apple Tv 4.a Generación 2015 Full Hd 32gb 2gb Ram,250000.0,ARS,MLA352001,A1625,1,https://articulo.mercadolibre.com.ar/MLA-1463957805-apple-tv-4a-generacion-2015-full-hd-32gb-2gb-ram-_JM,http://http2.mlstatic.com/D_965871-MLA80896997180_122024-O.jpg,,used,Capital Federal
MLA1913427140,Apple Tv A1427  3.a Generación Full Hd 8gb Negro,60000.0,ARS,MLA352001,A1427,1,https://articulo.mercadolibre.com.ar/MLA-1913427140-apple-tv-a1427-3a-generacion-full-hd-8gb-negro-_JM,http://http2.mlstatic.com/D_906163-MLA79135279808_092024-O.jpg,,used,Capital Federal
MLA1414122791, Apple Tv A1427 Negro - 1080p Full Hd,120000.0,ARS,MLA352001,A1427,1,https://articulo.mercadolibre.com.ar/MLA-1414122791-apple-tv-a1427-negro-1080p-full-hd-_JM,http://http2.mlstatic.com/D_850015-MLA74935891754_032024-O.jpg,,used,Buenos Aires
MLA1475666907,Apple Tv  Full Hd 32gb,250000.0,ARS,MLA352001,A1625,1,https://articulo.mercadolibre.com.ar/MLA-1475666907-apple-tv-full-hd-32gb-_JM,http://http2.mlstatic.com/D_713523-MLA82068633194_022025-O.jpg,,used,Buenos Aires
MLA1972159008,Apple Tv A1427 ( Control No Funciona),20000.0,ARS,MLA352001,A1427,1,https://articulo.mercadolibre.com.ar/MLA-1972159008-apple-tv-a1427-control-no-funciona-_JM,http://http2.mlstatic.com/D_937772-MLA81214178527_122024-O.jpg,,used,Buenos Aires
MLA1445793563,Apple Tv Hd A1625 De Voz 4.ª Generación 2015 Full Hd 64 Gb,180000.0,ARS,MLA352001,A1625,1,https://articulo.mercadolibre.com.ar/MLA-1445793563-apple-tv-hd-a1625-de-voz-4-generacion-2015-full-hd-64-gb-_JM,http://http2.mlstatic.com/D_604655-MLA78455191662_082024-O.jpg,,used,Buenos Aires
MLA1867521508,Apple Tv A1469 3ra Generación,58000.0,ARS,MLA352001,A1469,1,https://articulo.mercadolibre.com.ar/MLA-1867521508-apple-tv-a1469-3ra-generacion-_JM,http://http2.mlstatic.com/D_725024-MLA77875440986_072024-O.jpg,,used,Buenos Aires
MLA1903134622,Apple Tv A1427 3.ª Generación Full Hd 8gb,73999.0,ARS,MLA352001,A1427,1,https://articulo.mercadolibre.com.ar/MLA-1903134622-apple-tv-a1427-3-generacion-full-hd-8gb-_JM,http://http2.mlstatic.com/D_650721-MLA78775523382_092024-O.jpg,,used,Buenos Aires
MLA1448835555,Apple Tv A1469 Estándar 3,80000.0,ARS,MLA352001,A1427,1,https://articulo.mercadolibre.com.ar/MLA-1448835555-apple-tv-a1469-estandar-3-_JM,http://http2.mlstatic.com/D_939388-MLA78844191792_092024-O.jpg,,used,Capital Federal
